"","Gene_ID","Gene_Name","AmplificationRatio"
"1","DDX11L1..100287102.","DDX11L1",0.027027027027027
"2","WASH7P..653635.","WASH7P",0.027027027027027
"3","FAM138A..645520.","FAM138A",0.0216216216216216
"4","OR4F5..79501.","OR4F5",0.0216216216216216
"5","LOC729737..729737.","LOC729737",0.0216216216216216
"6","LOC102725121..102725121.","LOC102725121",0.0135135135135135
"7","LOC101928626..101928626.","LOC101928626",0.00810810810810811
"8","LOC100133331..100133331.","LOC100133331",0
"9","LOC100288069..100288069.","LOC100288069",0
"10","FAM87B..400728.","FAM87B",0
"11","LINC00115..79854.","LINC00115",0
"12","LINC01128..643837.","LINC01128",0
"13","FAM41C..284593.","FAM41C",0
"14","LOC100130417..100130417.","LOC100130417",0
"15","SAMD11..148398.","SAMD11",0
"16","NOC2L..26155.","NOC2L",0
"17","KLHL17..339451.","KLHL17",0
"18","PLEKHN1..84069.","PLEKHN1",0
"19","PERM1..84808.","PERM1",0
"20","HES4..57801.","HES4",0
"21","ISG15..9636.","ISG15",0
"22","AGRN..375790.","AGRN",0
"23","LOC100288175..100288175.","LOC100288175",0.0027027027027027
"24","RNF223..401934.","RNF223",0.0027027027027027
"25","C1orf159..54991.","C1orf159",0.0027027027027027
"26","LINC01342..254099.","LINC01342",0.0027027027027027
"27","MIR200B..406984.","MIR200B",0.0027027027027027
"28","MIR200A..406983.","MIR200A",0.0027027027027027
"29","MIR429..554210.","MIR429",0.0027027027027027
"30","TTLL10..254173.","TTLL10",0.0027027027027027
"31","TNFRSF18..8784.","TNFRSF18",0.0027027027027027
"32","TNFRSF4..7293.","TNFRSF4",0.0027027027027027
"33","SDF4..51150.","SDF4",0.0027027027027027
"34","B3GALT6..126792.","B3GALT6",0.0027027027027027
"35","C1QTNF12..388581.","C1QTNF12",0.0027027027027027
"36","UBE2J2..118424.","UBE2J2",0.0027027027027027
"37","SCNN1D..6339.","SCNN1D",0.0027027027027027
"38","ACAP3..116983.","ACAP3",0.0027027027027027
"39","MIR6726..102465434.","MIR6726",0.0027027027027027
"40","SNORD167..109623456.","SNORD167",0.0027027027027027
"41","PUSL1..126789.","PUSL1",0.0027027027027027
"42","INTS11..54973.","INTS11",0.0027027027027027
"43","MIR6727..102465435.","MIR6727",0.0027027027027027
"44","CPTP..80772.","CPTP",0.0027027027027027
"45","TAS1R3..83756.","TAS1R3",0.0027027027027027
"46","DVL1..1855.","DVL1",0.0027027027027027
"47","MIR6808..102466740.","MIR6808",0.0027027027027027
"48","MXRA8..54587.","MXRA8",0
"49","AURKAIP1..54998.","AURKAIP1",0
"50","CCNL2..81669.","CCNL2",0
"51","LOC148413..148413.","LOC148413",0
"52","MRPL20..55052.","MRPL20",0
"53","ANKRD65..441869.","ANKRD65",0
"54","TMEM88B..643965.","TMEM88B",0
"55","LINC01770..102724312.","LINC01770",0
"56","VWA1..64856.","VWA1",0
"57","ATAD3C..219293.","ATAD3C",0
"58","ATAD3B..83858.","ATAD3B",0
"59","ATAD3A..55210.","ATAD3A",0
"60","TMEM240..339453.","TMEM240",0
"61","SSU72..29101.","SSU72",0
"62","FNDC10..643988.","FNDC10",0
"63","LOC105378586..105378586.","LOC105378586",0
"64","MIB2..142678.","MIB2",0
"65","MMP23B..8510.","MMP23B",0
"66","MMP23A..8511.","MMP23A",0.00540540540540541
"67","CDK11B..984.","CDK11B",0
"68","SLC35E2B..728661.","SLC35E2B",0.027027027027027
"69","CDK11A..728642.","CDK11A",0
"70","SLC35E2A..9906.","SLC35E2A",0
"71","NADK..65220.","NADK",0
"72","GNB1..2782.","GNB1",0
"73","CALML6..163688.","CALML6",0
"74","TMEM52..339456.","TMEM52",0
"75","CFAP74..85452.","CFAP74",0
"76","GABRD..2563.","GABRD",0
"77","LOC105378591..105378591.","LOC105378591",0
"78","PRKCZ..5590.","PRKCZ",0
"79","PRKCZ.AS1..100506504.","PRKCZ",0
"80","FAAP20..199990.","FAAP20",0
"81","SKI..6497.","SKI",0
"82","MORN1..79906.","MORN1",0
"83","LOC100129534..100129534.","LOC100129534",0
"84","RER1..11079.","RER1",0
"85","PEX10..5192.","PEX10",0
"86","PLCH2..9651.","PLCH2",0
"87","PANK4..55229.","PANK4",0
"88","HES5..388585.","HES5",0
"89","TNFRSF14.AS1..115110.","TNFRSF14",0
"90","TNFRSF14..8764.","TNFRSF14",0
"91","LOC100996583..100996583.","LOC100996583",0
"92","FAM213B..127281.","FAM213B",0
"93","MMEL1..79258.","MMEL1",0
"94","TTC34..100287898.","TTC34",0
"95","ACTRT2..140625.","ACTRT2",0
"96","LINC00982..440556.","LINC00982",0
"97","PRDM16..63976.","PRDM16",0
"98","MIR4251..100422968.","MIR4251",0
"99","ARHGEF16..27237.","ARHGEF16",0
"100","MEGF6..1953.","MEGF6",0
"101","MIR551A..693135.","MIR551A",0
"102","TPRG1L..127262.","TPRG1L",0
"103","WRAP73..49856.","WRAP73",0
"104","TP73..7161.","TP73",0
"105","TP73.AS1..57212.","TP73",0
"106","CCDC27..148870.","CCDC27",0
"107","SMIM1..388588.","SMIM1",0
"108","LRRC47..57470.","LRRC47",0
"109","CEP104..9731.","CEP104",0
"110","DFFB..1677.","DFFB",0
"111","C1orf174..339448.","C1orf174",0
"112","LINC01134..100133612.","LINC01134",0
"113","LINC01346..728716.","LINC01346",0
"114","LINC01345..105376672.","LINC01345",0
"115","LINC01777..284661.","LINC01777",0
"116","LINC01646..105376679.","LINC01646",0
"117","AJAP1..55966.","AJAP1",0
"118","MIR4689..100616421.","MIR4689",0
"119","NPHP4..261734.","NPHP4",0
"120","KCNAB2..8514.","KCNAB2",0
"121","CHD5..26038.","CHD5",0
"122","RPL22..6146.","RPL22",0
"123","LOC102724450..102724450.","LOC102724450",0
"124","RNF207..388591.","RNF207",0
"125","ICMT..23463.","ICMT",0
"126","LINC00337..148645.","LINC00337",0
"127","HES3..390992.","HES3",0
"128","GPR153..387509.","GPR153",0
"129","ACOT7..11332.","ACOT7",0.0027027027027027
"130","HES2..54626.","HES2",0.0027027027027027
"131","ESPN..83715.","ESPN",0.0027027027027027
"132","MIR4252..100422975.","MIR4252",0.0027027027027027
"133","TNFRSF25..8718.","TNFRSF25",0.0027027027027027
"134","PLEKHG5..57449.","PLEKHG5",0.0027027027027027
"135","NOL9..79707.","NOL9",0.0027027027027027
"136","TAS1R1..80835.","TAS1R1",0.0027027027027027
"137","ZBTB48..3104.","ZBTB48",0.0027027027027027
"138","KLHL21..9903.","KLHL21",0.0027027027027027
"139","PHF13..148479.","PHF13",0.0027027027027027
"140","THAP3..90326.","THAP3",0.0027027027027027
"141","DNAJC11..55735.","DNAJC11",0.0027027027027027
"142","LINC01672..100505887.","LINC01672",0.0027027027027027
"143","CAMTA1.DT..110841581.","CAMTA1",0.0027027027027027
"144","CAMTA1..23261.","CAMTA1",0
"145","LOC102725193..102725193.","LOC102725193",0
"146","VAMP3..9341.","VAMP3",0
"147","PER3..8863.","PER3",0
"148","UTS2..10911.","UTS2",0
"149","TNFRSF9..3604.","TNFRSF9",0
"150","PARK7..11315.","PARK7",0
"151","ERRFI1..54206.","ERRFI1",0
"152","LINC01714..102724539.","LINC01714",0
"153","SLC45A1..50651.","SLC45A1",0
"154","RERE..473.","RERE",0
"155","LOC102724552..102724552.","LOC102724552",0
"156","SNORD128..106632271.","SNORD128",0
"157","ENO1..2023.","ENO1",0.0027027027027027
"158","MIR6728..102465436.","MIR6728",0.0027027027027027
"159","ENO1.AS1..100505975.","ENO1",0.0027027027027027
"160","CA6..765.","CA6",0.0027027027027027
"161","SLC2A7..155184.","SLC2A7",0.0027027027027027
"162","SLC2A5..6518.","SLC2A5",0.0027027027027027
"163","GPR157..80045.","GPR157",0.0027027027027027
