"","X1","Protein_Id","Gene_Symbol","Uniprot_Acc"
"1",1,"sp.P55011.S12A2_HUMAN","SLC12A2","P55011"
"2",2,"sp.P35453.HXD13_HUMAN","HOXD13","P35453"
"3",3,"sp.O60341.KDM1A_HUMAN","KDM1A","O60341"
"4",4,"sp.O00570.SOX1_HUMAN","SOX1","O00570"
"5",5,"sp.P48431.SOX2_HUMAN","SOX2","P48431"
"6",6,"sp.P41225.SOX3_HUMAN","SOX3","P41225"
"7",7,"sp.O60248.SOX15_HUMAN","SOX15","O60248"
"8",8,"sp.Q99453.PHX2B_HUMAN","PHOX2B","Q99453"
"9",9,"sp.Q9H161.ALX4_HUMAN","ALX4","Q9H161"
"10",10,"sp.Q15699.ALX1_HUMAN","ALX1","Q15699"
"11",11,"sp.P54821.2.PRRX1_HUMAN","PRRX1","P54821-2"
"12",12,"sp.Q96QS3.ARX_HUMAN","ARX","Q96QS3"
"13",13,"sp.O60902.SHOX2_HUMAN","SHOX2","O60902"
"14",14,"sp.Q99811.PRRX2_HUMAN","PRRX2","Q99811"
"15",15,"sp.P37108.SRP14_HUMAN","SRP14","P37108"
"16",16,"sp.Q8N697.S15A4_HUMAN","SLC15A4","Q8N697"
"17",17,"sp.Q5TF21.SOGA3_HUMAN","SOGA3","Q5TF21"
"18",18,"sp.O94964.2.SOGA1_HUMAN","SOGA1","O94964-2"
"19",19,"sp.Q8WUM0.NU133_HUMAN","NUP133","Q8WUM0"
"20",20,"sp.Q9Y4B5.SOGA2_HUMAN","SOGA2","Q9Y4B5"
"21",21,"sp.Q9Y4H2.IRS2_HUMAN","IRS2","Q9Y4H2"
"22",22,"sp.P36578.RL4_HUMAN","RPL4","P36578"
"23",23,"sp.Q92945.FUBP2_HUMAN","KHSRP","Q92945"
"24",24,"sp.Q96I24.FUBP3_HUMAN","FUBP3","Q96I24"
"25",25,"sp.Q96AE4.2.FUBP1_HUMAN","FUBP1","Q96AE4-2"
"26",26,"sp.Q96AE4.FUBP1_HUMAN","FUBP1","Q96AE4"
"27",27,"sp.Q9Y5R2.MMP24_HUMAN","MMP24","Q9Y5R2"
"28",28,"sp.P50281.MMP14_HUMAN","MMP14","P50281"
"29",29,"sp.P51511.MMP15_HUMAN","MMP15","P51511"
"30",30,"sp.Q8TEJ3.SH3R3_HUMAN","SH3RF3","Q8TEJ3"
"31",31,"sp.Q7Z6J0.SH3R1_HUMAN","SH3RF1","Q7Z6J0"
"32",32,"sp.Q8TEC5.SH3R2_HUMAN","SH3RF2","Q8TEC5"
"33",33,"sp.Q8NCE2.MTMRE_HUMAN","MTMR14","Q8NCE2"
"34",34,"sp.Q6SPF0.SAMD1_HUMAN","SAMD1","Q6SPF0"
"35",35,"sp.O60779.S19A2_HUMAN","SLC19A2","O60779"
"36",36,"sp.O76031.CLPX_HUMAN","CLPX","O76031"
"37",37,"sp.O15265.2.ATX7_HUMAN","ATXN7","O15265-2"
"38",38,"sp.Q8WUQ7.2.CATIN_HUMAN","CACTIN","Q8WUQ7-2"
"39",39,"sp.P19338.NUCL_HUMAN","NCL","P19338"
"40",40,"tr.H7BY16.H7BY16_HUMAN","NCL","H7BY16"
"41",41,"sp.A6NIH7.U119B_HUMAN","UNC119B","A6NIH7"
"42",42,"sp.Q13432.U119A_HUMAN","UNC119","Q13432"
"43",43,"sp.Q9BTD8.RBM42_HUMAN","RBM42","Q9BTD8"
"44",44,"sp.Q9P258.RCC2_HUMAN","RCC2","Q9P258"
"45",45,"sp.Q9P2E5.CHPF2_HUMAN","CHPF2","Q9P2E5"
"46",46,"sp.P17542.TAL1_HUMAN","TAL1","P17542"
"47",47,"sp.P12980.LYL1_HUMAN","LYL1","P12980"
"48",48,"sp.O60518.RNBP6_HUMAN","RANBP6","O60518"
"49",49,"sp.O00410.3.IPO5_HUMAN","IPO5","O00410-3"
"50",50,"sp.Q99523.SORT_HUMAN","SORT1","Q99523"
"51",51,"sp.Q9Y2U8.MAN1_HUMAN","LEMD3","Q9Y2U8"
"52",52,"sp.Q96JZ2.2.HSH2D_HUMAN","HSH2D","Q96JZ2-2"
"53",53,"tr.K7ERI2.K7ERI2_HUMAN","HSH2D","K7ERI2"
"54",54,"sp.Q86SX6.GLRX5_HUMAN","GLRX5","Q86SX6"
"55",55,"sp.Q96CC6.RHDF1_HUMAN","RHBDF1","Q96CC6"
"56",56,"sp.Q13671.RIN1_HUMAN","RIN1","Q13671"
"57",57,"sp.P30044.PRDX5_HUMAN","PRDX5","P30044"
"58",58,"sp.Q15596.NCOA2_HUMAN","NCOA2","Q15596"
"59",59,"sp.Q15788.NCOA1_HUMAN","NCOA1","Q15788"
"60",60,"sp.Q9Y6Q9.NCOA3_HUMAN","NCOA3","Q9Y6Q9"
"61",61,"sp.Q53GG5.2.PDLI3_HUMAN","PDLIM3","Q53GG5-2"
"62",62,"sp.Q96L91.EP400_HUMAN","EP400","Q96L91"
"63",63,"sp.Q6ZTU2.6.E400N_HUMAN","EP400NL","Q6ZTU2-6"
"64",64,"sp.P52701.MSH6_HUMAN","MSH6","P52701"
"65",65,"sp.P20585.MSH3_HUMAN","MSH3","P20585"
"66",66,"sp.Q9H694.BICC1_HUMAN","BICC1","Q9H694"
"67",67,"sp.Q9NRR5.UBQL4_HUMAN","UBQLN4","Q9NRR5"
"68",68,"sp.Q9UMX0.UBQL1_HUMAN","UBQLN1","Q9UMX0"
"69",69,"sp.Q9UMX0.2.UBQL1_HUMAN","UBQLN1","Q9UMX0-2"
"70",70,"sp.Q9H347.UBQL3_HUMAN","UBQLN3","Q9H347"
"71",71,"sp.Q9UHD9.UBQL2_HUMAN","UBQLN2","Q9UHD9"
"72",72,"sp.A1X283.SPD2B_HUMAN","SH3PXD2B","A1X283"
"73",73,"sp.Q5TCZ1.SPD2A_HUMAN","SH3PXD2A","Q5TCZ1"
"74",74,"sp.Q9BQE4.SELS_HUMAN","VIMP","Q9BQE4"
"75",75,"sp.Q8WWH5.TRUB1_HUMAN","TRUB1","Q8WWH5"
"76",76,"sp.Q96MA1.DMRTB_HUMAN","DMRTB1","Q96MA1"
"77",77,"sp.O95625.ZBT11_HUMAN","ZBTB11","O95625"
"78",78,"sp.Q8TDZ2.4.MICA1_HUMAN","MICAL1","Q8TDZ2-4"
