"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss"
"1","A1CF","A1CF..29974.",0.0110908651550484,-0.28269660448607,0.144169815127639,-0.167487920208891,0.359240588956243,-0.115208684277179,"sp.Q9NQ94.A1CF_HUMAN",0.217639057676011,-0.411011886159472,0.689677956529208,-0.107683587135897,0.412303679964351,-0.303328299023575
"2","A2M","A2M..2.",0.00253666745459318,-0.563490650418587,0.62880774113501,-0.112620148623293,0.0475272586181395,-0.450870501795294,"sp.P01023.A2MG_HUMAN",0.829991845128829,0.0376659464859219,0.328026033101917,-0.136666487504958,0.351010249245898,0.17433243399088
"3","A2ML1","A2ML1..144568.",0.0681968367651097,-0.159833649935185,0.642834827680222,-0.0494034929795556,0.285394912927352,-0.110430156955629,"sp.A8K2U0.A2ML1_HUMAN",0.0635032957232883,-0.654509019053735,0.136060430893657,-0.509073411265406,0.680704423323163,-0.145435607788329
"4","AAAS","AAAS..8086.",0.18621854163792,0.151554349737429,0.000395076003735438,-0.24305585916187,0.00234901683226953,0.394610208899299,"sp.Q9NRG9.AAAS_HUMAN",0.219328690424535,0.0919092693484476,0.10639292865709,0.0945228185351261,0.975978432064767,-0.00261354918667849
"5","AACS","AACS..65985.",0.682163580230216,0.0572398234881195,0.663056384767551,0.0453455133843192,0.941632628294504,0.0118943101038003,"sp.Q86V21.AACS_HUMAN",0.94937980337504,-0.0103249322080304,0.915076372847356,-0.0108093479814208,0.997840752768143,0.000484415773390388
"6","AAGAB","AAGAB..79719.",4.24247156021642e-05,0.505400903301025,0.19881354885277,-0.0854121132802161,6.75682256030421e-06,0.590813016581241,"sp.Q6PD74.AAGAB_HUMAN",0.0171692979096481,0.371098567815082,0.0103591466032744,-0.235378854504019,0.000415642684914832,0.606477422319101
"7","AAK1","AAK1..22848.",0.00329142746678802,0.322043554999718,0.91642214585347,-0.0113549794912138,0.013901914006869,0.333398534490932,"sp.Q2M2I8.AAK1_HUMAN",0.00823824012359981,0.277235026136892,0.264966503892943,-0.130778593097453,0.00450013012001149,0.408013619234345
"8","AAMDC","AAMDC..28971.",0.325888548598887,0.129302581594287,0.199602866492355,-0.15561922356181,0.0794167783162465,0.284921805156097,"sp.Q9H7C9.AAMDC_HUMAN",0.895077971754882,0.0183478226975854,0.0175939185016625,-0.31509605577787,0.0455870294228207,0.333443878475455
"9","AAMP","AAMP..14.",6.4874398989116e-06,0.355998846255593,0.00484086560352682,-0.209368012017956,3.45239057420623e-08,0.565366858273549,"sp.Q13685.AAMP_HUMAN",0.0212341769421364,0.288258982360835,0.0357088960867934,-0.223497663546533,0.000930453143229846,0.511756645907368
"10","AAR2","AAR2..25980.",1.18634167798652e-14,0.392627439218676,0.544379758154153,0.0933862214945451,0.0632246670765444,0.299241217724131,"sp.Q9Y312.AAR2_HUMAN",6.31791278279089e-06,0.224072005798267,0.956390792905203,-0.00491450757431514,0.0175081216804206,0.228986513372582
"11","AARS","AARS..16.",0.000815631909450841,0.596018668211903,8.50876517903814e-05,-0.35773514354803,1.64770902947117e-06,0.953753811759933,"sp.P49588.SYAC_HUMAN",0.0186280274749571,0.296005614128839,0.000386184715322325,-0.295284861536273,2.40492555826603e-05,0.591290475665112
"12","AARS2","AARS2..57505.",0.0695529089144899,0.183997881817391,0.00147061537984386,-0.310340426644503,0.000204339395903311,0.494338308461894,"sp.Q5JTZ9.SYAM_HUMAN",0.00983488812586907,0.246015861963476,0.00333510159599154,-0.195591218556229,5.09292515631745e-05,0.441607080519705
"13","AARSD1","AARSD1..80755.",0.000488809568437464,0.226982326338807,0.00224407926629374,-0.262324073437603,1.35928837245439e-06,0.48930639977641,"sp.Q9BTE6.AASD1_HUMAN",0.00511088649597563,0.488108739245624,0.941651461521213,-0.0107606387936823,0.0148491902993631,0.498869378039307
"14","AARSD1","AARSD1..80755.",0.000488809568437464,0.226982326338807,0.00224407926629374,-0.262324073437603,1.35928837245439e-06,0.48930639977641,"sp.Q9BTE6.3.AASD1_HUMAN",0.00782860396667283,0.262083400216762,0.225096442887678,-0.131207074240988,0.00323255992226083,0.393290474457751
"15","AASDHPPT","AASDHPPT..60496.",0.000637784053076827,0.291077677168556,6.6356785224507e-08,-0.43199752317954,2.4755791620642e-11,0.723075200348096,"sp.Q9NRN7.ADPPT_HUMAN",0.0352427422355599,0.232790232861051,1.46871983371049e-05,-0.395709173850549,1.87763958922782e-06,0.6284994067116
"16","AASS","AASS..10157.",0.0220637386233271,0.39575668215192,0.430310671820951,0.164934046109242,0.313040793416076,0.230822636042678,"sp.Q9UDR5.AASS_HUMAN",0.197058811349356,0.180550750968822,0.374507248286904,0.14697444924602,0.850404758234421,0.0335763017228019
"17","AATF","AATF..26574.",0.0120737446257262,0.266126789668834,0.00244440574699759,-0.282398064568238,3.32988492062153e-05,0.548524854237073,"sp.Q9NY61.AATF_HUMAN",0.74649700401202,0.0283338591630833,0.250652285084737,-0.11197564430743,0.243905763722755,0.140309503470513
