"","RNA_Name","RNA_ID.x","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss","RNA_ID.y","RNA_ID.All","Variance.noAn","Variance.Mean.noAn","Variance.All","St.Dev.noAn","St.Dev.All","Chrm.Num.Arm","RNA_num"
"1","A1CF","A1CF..29974.",0.0110908651550484,-0.28269660448607,0.144169815127639,-0.167487920208891,0.359240588956243,-0.115208684277179,"sp.Q9NQ94.A1CF_HUMAN",0.217639057676011,-0.411011886159472,0.689677956529208,-0.107683587135897,0.412303679964351,-0.303328299023575,"Anti-Scaling","Buffering","Anti-Scaling","Buffering","A1CF","A1CF",1.05001904750757,2.63673290124713,1.01126005405449,1.02470437078582,1.0056142670301,"10q","A1CF"
"2","A2M","A2M..2.",0.00253666745459318,-0.563490650418587,0.62880774113501,-0.112620148623293,0.0475272586181395,-0.450870501795294,"sp.P01023.A2MG_HUMAN",0.829991845128829,0.0376659464859219,0.328026033101917,-0.136666487504958,0.351010249245898,0.17433243399088,"Anti-Scaling","Buffering","Buffering","Buffering","A2M","A2M",4.09123623302473,4.05624259774147,3.24248333946715,2.02268045746844,1.80068968438961,"12p","A2M"
"3","A2ML1","A2ML1..144568.",0.0681968367651097,-0.159833649935185,0.642834827680222,-0.0494034929795556,0.285394912927352,-0.110430156955629,"sp.A8K2U0.A2ML1_HUMAN",0.0635032957232883,-0.654509019053735,0.136060430893657,-0.509073411265406,0.680704423323163,-0.145435607788329,"Anti-Scaling","Buffering","Anti-Scaling","Scaling","A2ML1","A2ML1",0.910866594094491,2.76832845923627,0.700514413376694,0.95439331205457,0.836967390868183,"12p","A2ML1"
"16","AASS","AASS..10157.",0.0220637386233271,0.39575668215192,0.430310671820951,0.164934046109242,0.313040793416076,0.230822636042678,"sp.Q9UDR5.AASS_HUMAN",0.197058811349356,0.180550750968822,0.374507248286904,0.14697444924602,0.850404758234421,0.0335763017228019,"Scaling","Anti-Scaling","Buffering","Anti-Scaling","AASS","AASS",2.06460142182855,1.10516337776283,2.11965610446041,1.43687209654462,1.45590387885341,"7q","AASS"
"18","ABAT","ABAT..18.",0.0476050457206451,0.707752802679932,0.061056275553402,-0.259197899269052,0.00912644574140038,0.966950701948984,"sp.P80404.GABT_HUMAN",0.44935361520985,0.241799249486083,0.103577209229143,-0.262867362217034,0.131388183972636,0.504666611703116,"Scaling","Scaling","Buffering","Scaling","ABAT","ABAT",1.61143776397078,0.953899813900613,1.72464399123246,1.2694241859878,1.31325701644136,"16p","ABAT"
"19","ABCA1","ABCA1..19.",0.00620468201394278,0.692408573446389,0.0128252983006582,-0.369409353076453,8.08717554034155e-05,1.06181792652284,"sp.O95477.ABCA1_HUMAN",0.551624926206123,0.138261588681879,0.156104960546401,-0.207824151851621,0.161069088147935,0.3460857405335,"Scaling","Scaling","Buffering","Buffering","ABCA1","ABCA1",1.86659915521356,1.134240615212,1.86888889797872,1.36623539524255,1.36707311361855,"9q","ABCA1"
"20","ABCA10","ABCA10..10349.",0.472231369353255,0.0675318395113393,0.473004730693204,-0.0635553061007035,0.259674085324387,0.131087145612043,"sp.Q8WWZ4.ABCAA_HUMAN",0.414025917969515,-0.106450121212546,0.607330175152798,0.0739543827619408,0.283405609762404,-0.180404503974487,"Buffering","Buffering","Anti-Scaling","Buffering","ABCA10","ABCA10",0.406963803897961,0.885526760218538,0.392587387083906,0.637937147294278,0.626567942911147,"17q","ABCA10"
"21","ABCA12","ABCA12..26154.",0.744050517757637,-0.0560307893880758,0.360062375446353,0.140191549978839,0.357228755026777,-0.196222339366914,"sp.Q86UK0.ABCAC_HUMAN",0.920455543673583,-0.0303455719098076,0.257669133351548,0.378786028009218,0.334728689449938,-0.409131599919026,"Buffering","Anti-Scaling","Buffering","Anti-Scaling","ABCA12","ABCA12",0.990764845110958,1.69826741422575,1.01232209909992,0.995371712030716,1.00614218632354,"2q","ABCA12"
"22","ABCA13","ABCA13..154664.",0.00791527549479542,0.282293027879967,0.198408549124318,-0.113245722848028,0.000849643794136653,0.395538750727995,"sp.Q86UQ4.ABCAD_HUMAN",0.226922061766633,-0.244480499982312,0.37923740356664,0.198079272418539,0.066256611840826,-0.442559772400851,"Scaling","Buffering","Anti-Scaling","Anti-Scaling","ABCA13","ABCA13",0.47569311801717,1.21429820425625,0.742467686574257,0.689705094962456,0.861665646625335,"7p","ABCA13"
"24","ABCA3","ABCA3..21.",0.260387749274206,0.376526406502141,0.00367546866982341,-0.518669871134455,0.0110300081385682,0.895196277636596,"sp.Q99758.ABCA3_HUMAN",0.865216773623195,0.0380153440043171,0.0259717493108652,-0.270247595136999,0.17488509200514,0.308262939141316,"Scaling","Scaling","Buffering","Scaling","ABCA3","ABCA3",3.03984380427422,1.25711132824929,2.80746264055574,1.74351478464458,1.6755484596262,"16p","ABCA3"
