"";"X1";"Cell_line";"X"
"1";1;"ACH-000001";"ACH-000001"
"2";2;"ACH-000004";"ACH-000004"
"3";3;"ACH-000005";"ACH-000005"
"4";4;"ACH-000006";"ACH-000006"
"5";5;"ACH-000007";"ACH-000007"
"6";6;"ACH-000008";"ACH-000008"
"7";7;"ACH-000012";"ACH-000012"
"8";8;"ACH-000014";"ACH-000014"
"9";9;"ACH-000015";"ACH-000015"
"10";10;"ACH-000018";"ACH-000018"
"11";11;"ACH-000019";"ACH-000019"
"12";12;"ACH-000021";"ACH-000021"
"13";13;"ACH-000023";"ACH-000023"
"14";14;"ACH-000024";"ACH-000024"
"15";15;"ACH-000028";"ACH-000028"
"16";16;"ACH-000030";"ACH-000030"
"17";17;"ACH-000035";"ACH-000035"
"18";18;"ACH-000039";"ACH-000039"
"19";19;"ACH-000040";"ACH-000040"
"20";20;"ACH-000042";"ACH-000042"
"21";21;"ACH-000050";"ACH-000050"
"22";22;"ACH-000053";"ACH-000053"
"23";23;"ACH-000054";"ACH-000054"
"24";24;"ACH-000062";"ACH-000062"
"25";25;"ACH-000065";"ACH-000065"
"26";26;"ACH-000068";"ACH-000068"
"27";27;"ACH-000070";"ACH-000070"
"28";28;"ACH-000075";"ACH-000075"
"29";29;"ACH-000087";"ACH-000087"
"30";30;"ACH-000090";"ACH-000090"
"31";31;"ACH-000091";"ACH-000091"
"32";32;"ACH-000096";"ACH-000096"
"33";33;"ACH-000097";"ACH-000097"
"34";34;"ACH-000098";"ACH-000098"
"35";35;"ACH-000100";"ACH-000100"
"36";36;"ACH-000109";"ACH-000109"
"37";37;"ACH-000111";"ACH-000111"
"38";38;"ACH-000114";"ACH-000114"
"39";39;"ACH-000115";"ACH-000115"
"40";40;"ACH-000117";"ACH-000117"
"41";41;"ACH-000118";"ACH-000118"
"42";42;"ACH-000132";"ACH-000132"
"43";43;"ACH-000138";"ACH-000138"
"44";44;"ACH-000146";"ACH-000146"
"45";45;"ACH-000147";"ACH-000147"
"46";46;"ACH-000151";"ACH-000151"
"47";47;"ACH-000153";"ACH-000153"
"48";48;"ACH-000155";"ACH-000155"
"49";49;"ACH-000158";"ACH-000158"
"50";50;"ACH-000159";"ACH-000159"
"51";51;"ACH-000161";"ACH-000161"
"52";52;"ACH-000164";"ACH-000164"
"53";53;"ACH-000169";"ACH-000169"
"54";54;"ACH-000188";"ACH-000188"
"55";55;"ACH-000190";"ACH-000190"
"56";56;"ACH-000192";"ACH-000192"
"57";57;"ACH-000198";"ACH-000198"
"58";58;"ACH-000201";"ACH-000201"
"59";59;"ACH-000202";"ACH-000202"
