DepMap_ID,ploidy,arm_Score,bp_Score,bp_ploidy_Score,Gene_Score,Gene_ploidy_Score
ACH-000001,3.52,27,2597943877,649485969.1,12848,3650
ACH-000002,1.97,6,346949783.4,173474891.7,1590,807.106599
ACH-000004,2.84,20,1409666660,469888886.7,9387,3305.28169
ACH-000005,2.8,19,1322202827,440734275.7,7629,2724.642857
ACH-000006,1.98,7,415794719,207897359.5,2551,1288.383838
ACH-000007,2.28,8,857082570.3,428541285.1,3631,1592.54386
ACH-000008,2.63,23,1686010832,562003610.8,9290,3532.319392
ACH-000009,1.38,9,727519081.8,727519081.8,3845,2786.231884
ACH-000012,2.74,21,1356417799,452139266.2,8726,3184.671533
ACH-000013,3.13,21,1360673582,453557860.7,8767,2800.958466
ACH-000014,3.07,14,902770465,300923488.3,4800,1563.517915
ACH-000015,1.66,19,1285630895,642815447.7,7862,4736.144578
ACH-000016,2.19,8,578819634.3,289409817.1,3800,1735.159817
ACH-000017,4.04,24,2455124036,613781008.9,11022,2728.217822
ACH-000018,3.65,24,1967208423,491802105.7,10509,2879.178082
ACH-000019,2.02,15,955352922,477676461,6317,3127.227723
ACH-000020,1.04,3,115051836,115051836,470,451.9230769
ACH-000021,2.9,25,1767989255,589329751.5,10081,3476.206897
ACH-000022,3.24,23,1624267385,541422461.5,9892,3053.08642
ACH-000023,3.02,22,1354855107,451618369.1,9500,3145.695364
ACH-000024,3.35,22,1654541715,551513904.9,9852,2940.895522
ACH-000025,1.88,10,624786868,312393434,3412,1814.893617
ACH-000027,1.86,9,814792975.5,407396487.7,4224,2270.967742
ACH-000028,3.68,20,1752821079,438205269.8,9030,2453.804348
ACH-000030,3.33,19,1409371315,469790438.2,6504,1953.153153
ACH-000031,1.86,13,950362572.5,475181286.3,4858,2611.827957
ACH-000032,2.03,4,294650474.9,147325237.4,1738,856.1576355
ACH-000035,2.08,13,891271102.1,445635551.1,5149,2475.480769
ACH-000036,2.91,14,1153914533,384638177.6,5592,1921.649485
ACH-000037,6.44,34,2924986992,487497832.1,16354,2539.440994
ACH-000038,2,0,54414713.1,27207356.55,0,0
ACH-000039,2.01,8,710163770.9,355081885.4,2740,1363.18408
ACH-000040,5.2,23,2033469126,406693825.2,10043,1931.346154
ACH-000041,3.03,24,1682729645,560909881.5,11153,3680.858086
ACH-000042,3.52,22,2286210093,571552523.3,10363,2944.034091
ACH-000043,2,0,0,0,0,0
ACH-000044,1.99,8,542525048.8,271262524.4,3115,1565.326633
ACH-000045,2.07,4,241384678.4,120692339.2,2010,971.0144928
ACH-000046,1.22,6,420373376.9,420373376.9,2650,2172.131148
ACH-000047,2.75,22,1610870569,536956856.5,10484,3812.363636
ACH-000048,1.07,2,133801704.1,133801704.1,735,686.9158879
ACH-000050,2.06,12,791378980.5,395689490.3,5613,2724.757282
ACH-000051,2,0,38788383.59,19394191.8,0,0
ACH-000052,2.01,3,302081529.8,151040764.9,1805,898.0099502
ACH-000053,1.96,7,445193602.7,222596801.3,3485,1778.061224
ACH-000054,2.04,4,233549832.2,116774916.1,2159,1058.333333
ACH-000055,2.04,7,476468608.1,238234304,3677,1802.45098
ACH-000056,2.06,2,159345973,79672986.5,861,417.961165
ACH-000058,1.71,18,1201260412,600630206,7100,4152.046784
ACH-000059,2.02,2,116900120.5,58450060.25,719,355.9405941
ACH-000060,1.78,13,971380941.6,485690470.8,5139,2887.078652
ACH-000061,2.04,5,510991628,255495814,1905,933.8235294
ACH-000062,2.48,8,839830805.4,419915402.7,5280,2129.032258
ACH-000063,2,0,0,0,0,0
ACH-000065,2.1,4,296829281,148414640.5,2169,1032.857143
ACH-000066,3.47,20,1692341946,564113982.1,7653,2205.475504
ACH-000067,1.98,4,301482907.9,150741454,1567,791.4141414
ACH-000068,1.84,11,882570508,441285254,4840,2630.434783
ACH-000070,2.03,3,342183620.4,171091810.2,1574,775.3694581
ACH-000071,2,0,10944712.23,5472356.117,0,0
ACH-000072,2.28,15,1132414414,566207206.8,6844,3001.754386
ACH-000073,1.92,7,423438241.1,211719120.6,2562,1334.375
ACH-000074,1.36,9,686237464,686237464,4914,3613.235294
ACH-000075,1.94,6,387981765.8,193990882.9,2711,1397.42268
ACH-000076,1.18,4,291761074.9,291761074.9,1972,1671.186441
ACH-000077,2.03,1,146067776.6,73033888.28,458,225.6157635
ACH-000078,2.16,3,326987868,163493934,1645,761.5740741
ACH-000079,2,0,0,0,0,0
ACH-000080,2,0,0,0,0,0
ACH-000081,2.07,5,379493477.2,189746738.6,1591,768.5990338
ACH-000082,2.38,11,713163903.1,356581951.6,3737,1570.168067
ACH-000083,2,0,0,0,0,0
ACH-000085,2.73,25,1701287535,567095845.1,10314,3778.021978
ACH-000086,1.1,4,207569578.6,207569578.6,1525,1386.363636
ACH-000087,2.27,9,769230153.5,384615076.8,5573,2455.066079
ACH-000088,2,0,0,0,0,0
ACH-000090,3.09,29,2117509329,705836443,12508,4047.89644
ACH-000091,1.94,4,204479609,102239804.5,1195,615.9793814
ACH-000092,1.7,14,1119824827,559912413.5,6105,3591.176471
ACH-000093,3.67,16,1332914186,333228546.4,7775,2118.52861
ACH-000094,2.61,27,1769784657,589928219.1,11440,4383.141762
