"","DepMap_ID","chrom","arm","wmed_CN","ploidy","arm_call"
"1","ACH-000001","1","p",3,3.52,-1
"2","ACH-000001","1","q",4,3.52,0
"3","ACH-000001","10","p",2,3.52,-1
"4","ACH-000001","10","q",4,3.52,0
"5","ACH-000001","11","p",4,3.52,0
"6","ACH-000001","11","q",2,3.52,-1
"7","ACH-000001","12","p",3,3.52,-1
"8","ACH-000001","12","q",3,3.52,-1
"9","ACH-000001","13","q",2,3.52,-1
"10","ACH-000001","14","q",4,3.52,0
"11","ACH-000001","15","q",2.68717333362487,3.52,-1
"12","ACH-000001","16","p",2,3.52,-1
"13","ACH-000001","16","q",2,3.52,-1
"14","ACH-000001","17","p",2.86410596502355,3.52,-1
"15","ACH-000001","17","q",4,3.52,0
"16","ACH-000001","18","p",5,3.52,1
"17","ACH-000001","18","q",2,3.52,-1
"18","ACH-000001","19","p",2,3.52,-1
"19","ACH-000001","19","q",2,3.52,-1
"20","ACH-000001","2","p",3,3.52,-1
"21","ACH-000001","2","q",3,3.52,-1
"22","ACH-000001","20","p",4,3.52,0
"23","ACH-000001","20","q",4.91546306155537,3.52,1
"24","ACH-000001","21","q",5,3.52,1
"25","ACH-000001","22","q",2.13778370721432,3.52,-1
"26","ACH-000001","3","p",3,3.52,-1
"27","ACH-000001","3","q",5.52840142885835,3.52,1
"28","ACH-000001","4","p",4,3.52,0
"29","ACH-000001","4","q",4,3.52,0
"30","ACH-000001","5","p",4,3.52,0
"31","ACH-000001","5","q",3,3.52,-1
"32","ACH-000001","6","p",3,3.52,-1
"33","ACH-000001","6","q",2.52049943984157,3.52,-1
"34","ACH-000001","7","p",2.66379487337823,3.52,-1
"35","ACH-000001","7","q",3,3.52,-1
"36","ACH-000001","8","p",3.77294733878044,3.52,0
"37","ACH-000001","8","q",4,3.52,0
"38","ACH-000001","9","p",4,3.52,0
"39","ACH-000001","9","q",3.06612062459837,3.52,-1
"40","ACH-000002","1","p",2,1.97,0
"41","ACH-000002","1","q",2,1.97,0
"42","ACH-000002","10","p",1,1.97,-1
"43","ACH-000002","10","q",2,1.97,0
"44","ACH-000002","11","p",2,1.97,0
"45","ACH-000002","11","q",2,1.97,0
"46","ACH-000002","12","p",2,1.97,0
"47","ACH-000002","12","q",2,1.97,0
"48","ACH-000002","13","q",2,1.97,0
"49","ACH-000002","14","q",1.6021136349549,1.97,0
"50","ACH-000002","15","q",2,1.97,0
"51","ACH-000002","16","p",2,1.97,0
"52","ACH-000002","16","q",2,1.97,0
"53","ACH-000002","17","p",1,1.97,-1
"54","ACH-000002","17","q",2,1.97,0
"55","ACH-000002","18","p",3,1.97,1
"56","ACH-000002","18","q",3,1.97,1
"57","ACH-000002","19","p",2,1.97,0
"58","ACH-000002","19","q",2,1.97,0
"59","ACH-000002","2","p",2,1.97,0
"60","ACH-000002","2","q",2,1.97,0
"61","ACH-000002","20","p",1.84106455497604,1.97,0
"62","ACH-000002","20","q",2,1.97,0
"63","ACH-000002","21","q",2,1.97,0
"64","ACH-000002","22","q",2,1.97,0
"65","ACH-000002","3","p",2,1.97,0
"66","ACH-000002","3","q",2,1.97,0
"67","ACH-000002","4","p",2,1.97,0
"68","ACH-000002","4","q",2,1.97,0
"69","ACH-000002","5","p",2,1.97,0
"70","ACH-000002","5","q",1,1.97,-1
