Chrm_Arm,bp_arm
1_p,123507021
1_q,125449401
2_p,93900000
2_q,148293529
3_p,90900000
3_q,107395559
4_p,50000000
4_q,140214555
5_p,48800000
5_q,132738259
6_p,60203588
6_q,110602391
7_p,60100000
7_q,99245973
8_p,45200000
8_q,99938636
9_p,43070468
9_q,95324249
10_p,39960399
10_q,93837023
11_p,53480841
11_q,81605781
12_p,35596345
12_q,97678964
13_p,17754008
13_q,126610320
14_p,17188821
14_q,89854897
15_p,19059685
15_q,82931504
16_p,36784738
16_q,53553607
17_p,25128414
17_q,58129027
18_p,18511577
18_q,61861708
19_p,26241244
19_q,32376372
20_p,28108228
20_q,36335939
21_p,12031432
21_q,34678551
22_p,15027925
22_q,35790543
https://www.ncbi.nlm.nih.gov/genome/gdv/,0
