"","Approved Symbol","Protein_Name","Chromosome","Chromosome band","UniProt ID(supplied by UniProt)","arm"
"1","A1BG","A1BG","19","19q13.43","P04217","q"
"2","A1BG-AS1","A1BG-AS1","19","19q13.43",NA,"q"
"3","A1CF","A1CF","10","10q11.23","Q9NQ94","q"
"4","A2M","A2M","12","12p13.31","P01023","p"
"5","A2M-AS1","A2M-AS1","12","12p13.31",NA,"p"
"6","A2ML1","A2ML1","12","12p13.31","A8K2U0","p"
"7","A2ML1-AS1","A2ML1-AS1","12","12p13.31",NA,"p"
"8","A2ML1-AS2","A2ML1-AS2","12","12p13.31",NA,"p"
"9","A2MP1","A2MP1","12","12p13.31",NA,"p"
"10","A3GALT2","A3GALT2","1","1p35.1","U3KPV4","p"
"11","A4GALT","A4GALT","22","22q13.2","Q9NPC4","q"
"12","A4GNT","A4GNT","3","3q22.3","Q9UNA3","q"
"13","AAAS","AAAS","12","12q13.13","Q9NRG9","q"
"14","AACS","AACS","12","12q24.31","Q86V21","q"
"15","AACSP1","AACSP1","5","5q35.3",NA,"q"
"16","AADAC","AADAC","3","3q25.1","P22760","q"
"17","AADACL2","AADACL2","3","3q25.1","Q6P093","q"
"18","AADACL2-AS1","AADACL2-AS1","3","3q25.1",NA,"q"
"19","AADACL3","AADACL3","1","1p36.21","Q5VUY0","p"
"20","AADACL4","AADACL4","1","1p36.21","Q5VUY2","p"
"21","AADACP1","AADACP1","3","3q25.1",NA,"q"
"22","AADAT","AADAT","4","4q33","Q8N5Z0","q"
"23","AAED1","AAED1","9","9q22.33","Q7RTV5","q"
"24","AAGAB","AAGAB","15","15q23","Q6PD74","q"
"25","AAK1","AAK1","2","2p13.3","Q2M2I8","p"
"26","AAMDC","AAMDC","11","11q14.1","Q9H7C9","q"
"27","AAMP","AAMP","2","2q35","Q13685","q"
"28","AANAT","AANAT","17","17q25.1","Q16613","q"
"29","AAR2","AAR2","20","20q11.23","Q9Y312","q"
"30","AARD","AARD","8","8q24.11","Q4LEZ3","q"
"31","AARS","AARS","16","16q22.1","P49588","q"
"32","AARS2","AARS2","6","6p21.1","Q5JTZ9","p"
"33","AARSD1","AARSD1","17","17q21.31","Q9BTE6","q"
"34","AARSP1","AARSP1","4","4q28.3",NA,"q"
"35","AASDH","AASDH","4","4q12","Q4L235","q"
"36","AASDHPPT","AASDHPPT","11","11q22.3","Q9NRN7","q"
"37","AASS","AASS","7","7q31.32","Q9UDR5","q"
"38","AATBC","AATBC","21","21q22.3",NA,"q"
"39","AATF","AATF","17","17q12","Q9NY61","q"
"40","AATK","AATK","17","17q25.3","Q6ZMQ8","q"
"41","AATK-AS1","AATK-AS1","17","17q25.3",NA,"q"
"42","AAVS1","AAVS1","19","19q13",NA,"q"
"43","ABALON","ABALON","20","20q11.21",NA,"q"
"44","ABAT","ABAT","16","16p13.2","P80404","p"
"45","ABCA1","ABCA1","9","9q31.1","O95477","q"
"46","ABCA2","ABCA10","9","9q34.3","Q9BZC7","q"
"47","ABCA3","ABCA11P","16","16p13.3","Q99758","p"
"48","ABCA4","ABCA12","1","1p22.1","P78363","p"
"49","ABCA5","ABCA13","17","17q24.3","Q8WWZ7","q"
"50","ABCA6","ABCA17P","17","17q24.2-q24.3","Q8N139","q"
"51","ABCA7","ABCA2","19","19p13.3","Q8IZY2","p"
"52","ABCA8","ABCA3","17","17q24.2","O94911","q"
"53","ABCA9","ABCA4","17","17q24.2","Q8IUA7","q"
"54","ABCA9-AS1","ABCA5","17","17q24.2",NA,"q"
"55","ABCA10","ABCA6","17","17q24.3","Q8WWZ4","q"
"56","ABCA11P","ABCA7","4","4p16.3","Q4W5N1","p"
"57","ABCA12","ABCA8","2","2q35","Q86UK0","q"
"58","ABCA13","ABCA9","7","7p12.3","Q86UQ4","p"
"59","ABCA17P","ABCA9-AS1","16","16p13.3",NA,"p"
"60","ABCB1","ABCB1","7","7q21.12","P08183","q"
"61","ABCB4","ABCB10","7","7q21.12","P21439","q"
"62","ABCB5","ABCB10P1","7","7p21.1","Q2M3G0","p"
"63","ABCB6","ABCB10P3","2","2q35","Q9NP58","q"
"64","ABCB7","ABCB10P4","X","Xq13.3","O75027","q"
"65","ABCB8","ABCB11","7","7q36.1","Q9NUT2","q"
"66","ABCB9","ABCB4","12","12q24.31","Q9NP78","q"
"67","ABCB10","ABCB5","1","1q42.13","Q9NRK6","q"
"68","ABCB10P1","ABCB6","15","15q11.2",NA,"q"
"69","ABCB10P3","ABCB7","15","15q13.1",NA,"q"
"70","ABCB10P4","ABCB8","15","15q13.1",NA,"q"
"71","ABCB11","ABCB9","2","2q31.1","O95342","q"
"72","ABCC1","ABCC1","16","16p13.11","P33527","p"
"73","ABCC2","ABCC10","10","10q24.2","Q92887","q"
"74","ABCC3","ABCC11","17","17q21.33","O15438","q"
"75","ABCC4","ABCC12","13","13q32.1","O15439","q"
"76","ABCC5","ABCC13","3","3q27.1","O15440","q"
"77","ABCC5-AS1","ABCC2","3","3q27.1",NA,"q"
"78","ABCC6","ABCC3","16","16p13.11","O95255","p"
"79","ABCC6P1","ABCC4","16","16p12.3",NA,"p"
"80","ABCC6P2","ABCC5","16","16p13.11",NA,"p"
"81","ABCC8","ABCC5-AS1","11","11p15.1","Q09428","p"
"82","ABCC9","ABCC6","12","12p12.1","O60706","p"
"83","ABCC10","ABCC6P1","6","6p21.1","Q5T3U5","p"
"84","ABCC11","ABCC6P2","16","16q12.1","Q96J66","q"
"85","ABCC12","ABCC8","16","16q12.1","Q96J65","q"
"86","ABCC13","ABCC9","21","21q11.2","Q9NSE7","q"
"87","ABCD1","ABCD1","X","Xq28","P33897","q"
"88","ABCD1P1","ABCD1P1","2","2p11.2",NA,"p"
"89","ABCD1P2","ABCD1P2","10","10p11.1",NA,"p"
"90","ABCD1P3","ABCD1P3","16","16p11.2",NA,"p"
"91","ABCD1P4","ABCD1P4","22","22q11.1",NA,"q"
"92","ABCD1P5","ABCD1P5","2","2p11.1",NA,"p"
"93","ABCD2","ABCD2","12","12q12","Q9UBJ2","q"
"94","ABCD3","ABCD3","1","1p21.3","P28288","p"
"95","ABCD4","ABCD4","14","14q24.3","O14678","q"
"96","ABCE1","ABCE1","4","4q31.21","P61221","q"
"97","ABCF1","ABCF1","6","6p21.33","Q8NE71","p"
"98","ABCF2","ABCF2","7","7q36.1","Q9UG63","q"
"99","ABCF2P1","ABCF2P1","3","3p11.1",NA,"p"
"100","ABCF2P2","ABCF2P2","7","7q11.22",NA,"q"
"101","ABCF3","ABCF3","3","3q27.1","Q9NUQ8","q"
"102","ABCG1","ABCG1","21","21q22.3","P45844","q"
"103","ABCG2","ABCG2","4","4q22.1","Q9UNQ0","q"
"104","ABCG4","ABCG4","11","11q23.3","Q9H172","q"
"105","ABCG5","ABCG5","2","2p21","Q9H222","p"
"106","ABCG8","ABCG8","2","2p21","Q9H221","p"
"107","ABHD1","ABHD1","2","2p23.3","Q96SE0","p"
"108","ABHD2","ABHD10","15","15q26.1","P08910","q"
"109","ABHD3","ABHD11","18","18q11.2","Q8WU67","q"
"110","ABHD4","ABHD11-AS1","14","14q11.2","Q8TB40","q"
"111","ABHD5","ABHD12","3","3p21.33","Q8WTS1","p"
"112","ABHD6","ABHD12B","3","3p14.3","Q9BV23","p"
"113","ABHD8","ABHD13","19","19p13.11","Q96I13","p"
"114","ABHD10","ABHD14A","3","3q13.2","Q9NUJ1","q"
"115","ABHD11","ABHD14A-ACY1","7","7q11.23","Q8NFV4","q"
"116","ABHD11-AS1","ABHD14B","7","7q11.23",NA,"q"
"117","ABHD12","ABHD15","20","20p11.21","Q8N2K0","p"
"118","ABHD12B","ABHD15-AS1","14","14q22.1","Q7Z5M8","q"
"119","ABHD13","ABHD16A","13","13q33.3","Q7L211","q"
"120","ABHD14A","ABHD16B","3","3p21.2","Q9BUJ0","p"
"121","ABHD14A-ACY1","ABHD17A","3","3p21.2",NA,"p"
"122","ABHD14B","ABHD17AP1","3","3p21.2","Q96IU4","p"
"123","ABHD15","ABHD17AP3","17","17q11.2","Q6UXT9","q"
"124","ABHD15-AS1","ABHD17AP4","17","17q11.2",NA,"q"
"125","ABHD16A","ABHD17AP5","6","6p21.33","O95870","p"
"126","ABHD16B","ABHD17AP6","20","20q13.33","Q9H3Z7","q"
"127","ABHD17A","ABHD17AP7","19","19p13.3","Q96GS6","p"
"128","ABHD17AP1","ABHD17AP8","1","1q21.2",NA,"q"
"129","ABHD17AP3","ABHD17AP9","1","1q41",NA,"q"
"130","ABHD17AP4","ABHD17B","22","22q11.21",NA,"q"
"131","ABHD17AP5","ABHD17C","22","22q11.22",NA,"q"
"132","ABHD17AP6","ABHD18","17","17p11.2",NA,"p"
"133","ABHD17AP7","ABHD2","16","16p11.2",NA,"p"
"134","ABHD17AP8","ABHD3","16","16p11.2",NA,"p"
"135","ABHD17AP9","ABHD4","16","16p11.2",NA,"p"
"136","ABHD17B","ABHD5","9","9q21.13","Q5VST6","q"
"137","ABHD17C","ABHD6","15","15q25.1","Q6PCB6","q"
"138","ABHD18","ABHD8","4","4q28.2","Q0P651","q"
"139","ABI1","ABI1","10","10p12.1","Q8IZP0","p"
"140","ABI1P1","ABI1P1","14","14q22.3",NA,"q"
"141","ABI2","ABI2","2","2q33.2","Q9NYB9","q"
"142","ABI3","ABI3","17","17q21.32","Q9P2A4","q"
"143","ABI3BP","ABI3BP","3","3q12.2","Q7Z7G0","q"
"144","ABL1","ABL1","9","9q34.12","P00519","q"
"145","ABL2","ABL2","1","1q25.2","P42684","q"
"146","ABLIM1","ABLIM1","10","10q25.3","O14639","q"
"147","ABLIM2","ABLIM2","4","4p16.1","Q6H8Q1","p"
"148","ABLIM3","ABLIM3","5","5q32","O94929","q"
"149","ABO","ABO","9","9q34.2","P16442","q"
"150","ABR","ABR","17","17p13.3","Q12979","p"
"151","ABRA","ABRA","8","8q23.1","Q8N0Z2","q"
"152","ABRACL","ABRACL","6","6q24.1","Q9P1F3","q"
"153","ABT1","ABT1","6","6p22.2","Q9ULW3","p"
"154","ABT1P1","ABT1P1","4","4q23",NA,"q"
"155","ABTB1","ABTB1","3","3q21.3","Q969K4","q"
"156","ABTB2","ABTB2","11","11p13","Q8N961","p"
"157","ACAA1","ACAA1","3","3p22.2","P09110","p"
"158","ACAA2","ACAA2","18","18q21.1","P42765","q"
"159","ACACA","ACACA","17","17q12","Q13085","q"
"160","ACACB","ACACB","12","12q24.11","O00763","q"
"161","ACAD8","ACAD10","11","11q25","Q9UKU7","q"
"162","ACAD9","ACAD11","3","3q21.3","Q9H845","q"
"163","ACAD10","ACAD8","12","12q24.12","Q6JQN1","q"
"164","ACAD11","ACAD9","3","3q22.1","Q709F0","q"
"165","ACADL","ACADL","2","2q34","P28330","q"
"166","ACADM","ACADM","1","1p31.1","P11310","p"
"167","ACADS","ACADS","12","12q24.31","P16219","q"
"168","ACADSB","ACADSB","10","10q26.13","P45954","q"
"169","ACADVL","ACADVL","17","17p13.1","P49748","p"
"170","ACAN","ACAN","15","15q26.1","P16112","q"
"171","ACAP1","ACAP1","17","17p13.1","Q15027","p"
"172","ACAP2","ACAP2","3","3q29","Q15057","q"
"173","ACAP2-IT1","ACAP2-IT1","3","3q29",NA,"q"
"174","ACAP3","ACAP3","1","1p36.33","Q96P50","p"
"175","ACAT1","ACAT1","11","11q22.3","P24752","q"
"176","ACAT2","ACAT2","6","6q25.3","Q9BWD1","q"
"177","ACBD3","ACBD3","1","1q42.12","Q9H3P7","q"
"178","ACBD3-AS1","ACBD3-AS1","1","1q42.12",NA,"q"
"179","ACBD4","ACBD4","17","17q21.31","Q8NC06","q"
"180","ACBD5","ACBD5","10","10p12.1","Q5T8D3","p"
"181","ACBD6","ACBD6","1","1q25.2-q25.3","Q9BR61","q"
"182","ACBD7","ACBD7","10","10p13","Q8N6N7","p"
"183","ACCS","ACCS","11","11p11.2","Q96QU6","p"
"184","ACCSL","ACCSL","11","11p11.2","Q4AC99","p"
"185","ACD","ACD","16","16q22.1","Q96AP0","q"
"186","ACE","ACE","17","17q23.3","P12821","q"
"187","ACE2","ACE2","X","Xp22.2","Q9BYF1","p"
"188","ACE3P","ACE3P","17","17q23.3",NA,"q"
"189","ACER1","ACER1","19","19p13.3","Q8TDN7","p"
"190","ACER2","ACER2","9","9p22.1","Q5QJU3","p"
"191","ACER3","ACER3","11","11q13.5","Q9NUN7","q"
"192","ACHE","ACHE","7","7q22.1","P22303","q"
"193","ACIN1","ACIN1","14","14q11.2","Q9UKV3","q"
"194","ACKR1","ACKR1","1","1q23.2","Q16570","q"
"195","ACKR2","ACKR2","3","3p22.1","O00590","p"
"196","ACKR3","ACKR3","2","2q37.3","P25106","q"
"197","ACKR4","ACKR4","3","3q22.1","Q9NPB9","q"
"198","ACLS","ACLS","12","12p13.3-p11.2",NA,"p"
"199","ACLY","ACLY","17","17q21.2","P53396","q"
"200","ACMSD","ACMSD","2","2q21.3","Q8TDX5","q"
"201","ACO1","ACO1","9","9p21.1","P21399","p"
"202","ACO2","ACO2","22","22q13.2","Q99798","q"
"203","ACOD1","ACOD1","13","13q22.3","A6NK06","q"
"204","ACOT1","ACOT1","14","14q24.3","Q86TX2","q"
"205","ACOT2","ACOT11","14","14q24.3","P49753","q"
"206","ACOT4","ACOT12","14","14q24.3","Q8N9L9","q"
"207","ACOT6","ACOT13","14","14q24.3","Q3I5F7","q"
"208","ACOT7","ACOT2","1","1p36.31","O00154","p"
"209","ACOT8","ACOT4","20","20q13.12","O14734","q"
"210","ACOT9","ACOT6","X","Xp22.11","Q9Y305","p"
"211","ACOT11","ACOT7","1","1p32.3","Q8WXI4","p"
"212","ACOT12","ACOT8","5","5q14.1","Q8WYK0","q"
"213","ACOT13","ACOT9","6","6p22.3","Q9NPJ3","p"
"214","ACOX1","ACOX1","17","17q25.1","Q15067","q"
"215","ACOX2","ACOX2","3","3p14.3","Q99424","p"
"216","ACOX3","ACOX3","4","4p16.1","O15254","p"
"217","ACOXL","ACOXL","2","2q13","Q9NUZ1","q"
"218","ACOXL-AS1","ACOXL-AS1","2","2q13",NA,"q"
"219","ACP1","ACP1","2","2p25.3","P24666","p"
"220","ACP2","ACP2","11","11p11.2","P11117","p"
"221","ACP5","ACP5","19","19p13.2","P13686","p"
"222","ACP6","ACP6","1","1q21.2","Q9NPH0","q"
"223","ACP7","ACP7","19","19q13.2","Q6ZNF0","q"
"224","ACPP","ACPP","3","3q22.1","P15309","q"
"225","ACPT","ACPT","19","19q13.33","Q9BZG2","q"
"226","ACR","ACR","22","22q13.33","P10323","q"
"227","ACRBP","ACRBP","12","12p13.31","Q8NEB7","p"
